date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:48:45	163286/163286	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20Apr%202024%2005:58:50%20GMT	https://capxrecovery.com/camp/images/features-5.jpg	C:/Users/DELL/Desktop/capx/capxrecovery.com/camp/images/features-5.jpg	(from https://capxrecovery.com/camp/cryptocurrency-scam-recovery?utm_source=Google&utm_medium=Ads&utm_campaign=Capx_Pmax_Crypto_Scammers&gad_source=1&gclid=EAIaIQobChMIwqq99JKnhwMVXmVHAR1mEg_kEAAYASAAEgITBPD_BwE)
00:48:46	123604/123604	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20Apr%202024%2005:58:50%20GMT	https://capxrecovery.com/camp/images/features-6.jpg	C:/Users/DELL/Desktop/capx/capxrecovery.com/camp/images/features-6.jpg	(from https://capxrecovery.com/camp/cryptocurrency-scam-recovery?utm_source=Google&utm_medium=Ads&utm_campaign=Capx_Pmax_Crypto_Scammers&gad_source=1&gclid=EAIaIQobChMIwqq99JKnhwMVXmVHAR1mEg_kEAAYASAAEgITBPD_BwE)
00:48:47	2714/2714	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2028%20Apr%202024%2005:58:50%20GMT	https://capxrecovery.com/camp/images/testimonial.svg	C:/Users/DELL/Desktop/capx/capxrecovery.com/camp/images/testimonial.svg	(from https://capxrecovery.com/camp/cryptocurrency-scam-recovery?utm_source=Google&utm_medium=Ads&utm_campaign=Capx_Pmax_Crypto_Scammers&gad_source=1&gclid=EAIaIQobChMIwqq99JKnhwMVXmVHAR1mEg_kEAAYASAAEgITBPD_BwE)
00:48:47	3144/3144	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2028%20Apr%202024%2005:58:50%20GMT	https://capxrecovery.com/camp/images/mail.svg	C:/Users/DELL/Desktop/capx/capxrecovery.com/camp/images/mail.svg	(from https://capxrecovery.com/camp/cryptocurrency-scam-recovery?utm_source=Google&utm_medium=Ads&utm_campaign=Capx_Pmax_Crypto_Scammers&gad_source=1&gclid=EAIaIQobChMIwqq99JKnhwMVXmVHAR1mEg_kEAAYASAAEgITBPD_BwE)
00:48:48	2161/2161	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2028%20Apr%202024%2005:58:50%20GMT	https://capxrecovery.com/camp/images/call.svg	C:/Users/DELL/Desktop/capx/capxrecovery.com/camp/images/call.svg	(from https://capxrecovery.com/camp/cryptocurrency-scam-recovery?utm_source=Google&utm_medium=Ads&utm_campaign=Capx_Pmax_Crypto_Scammers&gad_source=1&gclid=EAIaIQobChMIwqq99JKnhwMVXmVHAR1mEg_kEAAYASAAEgITBPD_BwE)
00:48:48	72502/72502	---M--	200	added ('OK')	image/png	date:Sun,%2028%20Apr%202024%2005:58:50%20GMT	https://capxrecovery.com/camp/images/why-us.png	C:/Users/DELL/Desktop/capx/capxrecovery.com/camp/images/why-us.png	(from https://capxrecovery.com/camp/cryptocurrency-scam-recovery?utm_source=Google&utm_medium=Ads&utm_campaign=Capx_Pmax_Crypto_Scammers&gad_source=1&gclid=EAIaIQobChMIwqq99JKnhwMVXmVHAR1mEg_kEAAYASAAEgITBPD_BwE)
00:48:48	1313/1313	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2028%20Apr%202024%2005:58:50%20GMT	https://capxrecovery.com/camp/images/location.svg	C:/Users/DELL/Desktop/capx/capxrecovery.com/camp/images/location.svg	(from https://capxrecovery.com/camp/cryptocurrency-scam-recovery?utm_source=Google&utm_medium=Ads&utm_campaign=Capx_Pmax_Crypto_Scammers&gad_source=1&gclid=EAIaIQobChMIwqq99JKnhwMVXmVHAR1mEg_kEAAYASAAEgITBPD_BwE)
00:48:48	219309/219309	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20Apr%202024%2005:58:50%20GMT	https://capxrecovery.com/camp/images/features-2.jpg	C:/Users/DELL/Desktop/capx/capxrecovery.com/camp/images/features-2.jpg	(from https://capxrecovery.com/camp/cryptocurrency-scam-recovery?utm_source=Google&utm_medium=Ads&utm_campaign=Capx_Pmax_Crypto_Scammers&gad_source=1&gclid=EAIaIQobChMIwqq99JKnhwMVXmVHAR1mEg_kEAAYASAAEgITBPD_BwE)
00:48:49	87533/87533	---M--	200	added ('OK')	text/javascript	date:Tue,%2012%20Sep%202023%2002:38:22%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js	C:/Users/DELL/Desktop/capx/ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js	(from https://capxrecovery.com/camp/cryptocurrency-scam-recovery?utm_source=Google&utm_medium=Ads&utm_campaign=Capx_Pmax_Crypto_Scammers&gad_source=1&gclid=EAIaIQobChMIwqq99JKnhwMVXmVHAR1mEg_kEAAYASAAEgITBPD_BwE)
00:48:50	80420/80420	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213a24-kNFQNu9I/LM2oTW66BK0VmnxkEQ%22	https://cdn.jsdelivr.net/npm/bootstrap@5.2.3/dist/js/bootstrap.bundle.min.js	C:/Users/DELL/Desktop/capx/cdn.jsdelivr.net/npm/bootstrap@5.2.3/dist/js/bootstrap.bundle.min.js	(from https://capxrecovery.com/camp/cryptocurrency-scam-recovery?utm_source=Google&utm_medium=Ads&utm_campaign=Capx_Pmax_Crypto_Scammers&gad_source=1&gclid=EAIaIQobChMIwqq99JKnhwMVXmVHAR1mEg_kEAAYASAAEgITBPD_BwE)
00:48:50	94/94	---M--	301	error ('Moved%20Permanently')	text/plain	date:Mon,%2015%20Jul%202024%2023:48:49%20GMT	https://cdn.rawgit.com/michalsnik/aos/2.0.4/dist/aos.js	C:/Users/DELL/Desktop/capx/cdn.rawgit.com/michalsnik/aos/2.0.4/dist/aos.18.delayed	(from https://capxrecovery.com/camp/cryptocurrency-scam-recovery?utm_source=Google&utm_medium=Ads&utm_campaign=Capx_Pmax_Crypto_Scammers&gad_source=1&gclid=EAIaIQobChMIwqq99JKnhwMVXmVHAR1mEg_kEAAYASAAEgITBPD_BwE)
00:48:50	12368/12368	---M-Z	200	added ('OK')	application/javascript	etag:W/%223050-Ar+0CwxLbpsLQIEhg1cUXLsyfXQ%22	https://cdn.jsdelivr.net/gh/michalsnik/aos@2.0.4/dist/aos.js	C:/Users/DELL/Desktop/capx/cdn.jsdelivr.net/gh/michalsnik/aos@2.0.4/dist/aos.js	(from https://capxrecovery.com/camp/cryptocurrency-scam-recovery?utm_source=Google&utm_medium=Ads&utm_campaign=Capx_Pmax_Crypto_Scammers&gad_source=1&gclid=EAIaIQobChMIwqq99JKnhwMVXmVHAR1mEg_kEAAYASAAEgITBPD_BwE)
00:48:51	1519/1519	---M--	200	added ('OK')	application/javascript	date:Tue,%2007%20May%202024%2012:53:51%20GMT	https://capxrecovery.com/camp/js/scripts.js	C:/Users/DELL/Desktop/capx/capxrecovery.com/camp/js/scripts.js	(from https://capxrecovery.com/camp/cryptocurrency-scam-recovery?utm_source=Google&utm_medium=Ads&utm_campaign=Capx_Pmax_Crypto_Scammers&gad_source=1&gclid=EAIaIQobChMIwqq99JKnhwMVXmVHAR1mEg_kEAAYASAAEgITBPD_BwE)
00:48:51	97163/97163	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	C:/Users/DELL/Desktop/capx/ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	(from https://capxrecovery.com/camp/cryptocurrency-scam-recovery?utm_source=Google&utm_medium=Ads&utm_campaign=Capx_Pmax_Crypto_Scammers&gad_source=1&gclid=EAIaIQobChMIwqq99JKnhwMVXmVHAR1mEg_kEAAYASAAEgITBPD_BwE)
00:48:52	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15d9d%22	https://code.jquery.com/jquery-3.6.0.min.js	C:/Users/DELL/Desktop/capx/code.jquery.com/jquery-3.6.0.min.js	(from https://capxrecovery.com/camp/cryptocurrency-scam-recovery?utm_source=Google&utm_medium=Ads&utm_campaign=Capx_Pmax_Crypto_Scammers&gad_source=1&gclid=EAIaIQobChMIwqq99JKnhwMVXmVHAR1mEg_kEAAYASAAEgITBPD_BwE)
00:48:52	44342/44342	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03cf0-ad36%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/owl.carousel.min.js	C:/Users/DELL/Desktop/capx/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/owl.carousel.min.js	(from https://capxrecovery.com/camp/cryptocurrency-scam-recovery?utm_source=Google&utm_medium=Ads&utm_campaign=Capx_Pmax_Crypto_Scammers&gad_source=1&gclid=EAIaIQobChMIwqq99JKnhwMVXmVHAR1mEg_kEAAYASAAEgITBPD_BwE)
00:49:07	80721/80721	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213b51-3cbp6tbRaukjc5nOQejBYgzFnDY%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js	C:/Users/DELL/Desktop/capx/cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js	(from https://capxrecovery.com/camp/cryptocurrency-scam-recovery?utm_source=Google&utm_medium=Ads&utm_campaign=Capx_Pmax_Crypto_Scammers&gad_source=1&gclid=EAIaIQobChMIwqq99JKnhwMVXmVHAR1mEg_kEAAYASAAEgITBPD_BwE)
00:49:08	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2015%20Jul%202024%2023:49:07%20GMT	https://cdn.rawgit.com/michalsnik/aos/2.0.4/dist/aos.css	C:/Users/DELL/Desktop/capx/cdn.rawgit.com/michalsnik/aos/2.0.4/dist/aos.1f.delayed	(from https://capxrecovery.com/camp/css/styles.css?v=39528777)
00:49:08	25983/25983	---M-Z	200	added ('OK')	text/css	etag:W/%22657f-GRo3Baj2PliaUKD/LyxVWfGhtrI%22	https://cdn.jsdelivr.net/gh/michalsnik/aos@2.0.4/dist/aos.css	C:/Users/DELL/Desktop/capx/cdn.jsdelivr.net/gh/michalsnik/aos@2.0.4/dist/aos.css	(from https://capxrecovery.com/camp/css/styles.css?v=39528777)
00:49:12	157046/157046	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Jul%202024%2023:49:09%20GMT	https://capxrecovery.com/camp/assets/bannerbg.webp	C:/Users/DELL/Desktop/capx/capxrecovery.com/camp/assets/bannerbg.21.delayed	(from https://capxrecovery.com/camp/css/styles.css?v=39528777)
00:49:12	3121/3121	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2028%20Apr%202024%2005:58:50%20GMT	https://capxrecovery.com/camp/images/max-recovery.svg	C:/Users/DELL/Desktop/capx/capxrecovery.com/camp/images/max-recovery.svg	(from https://capxrecovery.com/camp/css/styles.css?v=39528777)
00:49:13	5055/5055	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2028%20Apr%202024%2005:58:50%20GMT	https://capxrecovery.com/camp/images/free-consult.svg	C:/Users/DELL/Desktop/capx/capxrecovery.com/camp/images/free-consult.svg	(from https://capxrecovery.com/camp/css/styles.css?v=39528777)
00:49:13	2352/2352	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2028%20Apr%202024%2005:58:50%20GMT	https://capxrecovery.com/camp/images/easy-process.svg	C:/Users/DELL/Desktop/capx/capxrecovery.com/camp/images/easy-process.svg	(from https://capxrecovery.com/camp/css/styles.css?v=39528777)
00:49:14	3332/3332	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2028%20Apr%202024%2005:58:50%20GMT	https://capxrecovery.com/camp/images/no-win-no-fee.svg	C:/Users/DELL/Desktop/capx/capxrecovery.com/camp/images/no-win-no-fee.svg	(from https://capxrecovery.com/camp/css/styles.css?v=39528777)
00:49:14	3280/3280	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2028%20Apr%202024%2005:58:50%20GMT	https://capxrecovery.com/camp/images/privacy.svg	C:/Users/DELL/Desktop/capx/capxrecovery.com/camp/images/privacy.svg	(from https://capxrecovery.com/camp/css/styles.css?v=39528777)
00:49:15	5186/5186	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2028%20Apr%202024%2005:58:50%20GMT	https://capxrecovery.com/camp/images/24-7.svg	C:/Users/DELL/Desktop/capx/capxrecovery.com/camp/images/24-7.svg	(from https://capxrecovery.com/camp/css/styles.css?v=39528777)
00:49:15	3133/3133	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2028%20Apr%202024%2005:58:50%20GMT	https://capxrecovery.com/camp/images/max-recovery-h.svg	C:/Users/DELL/Desktop/capx/capxrecovery.com/camp/images/max-recovery-h.svg	(from https://capxrecovery.com/camp/css/styles.css?v=39528777)
00:49:15	5109/5109	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2028%20Apr%202024%2005:58:50%20GMT	https://capxrecovery.com/camp/images/free-consult-h.svg	C:/Users/DELL/Desktop/capx/capxrecovery.com/camp/images/free-consult-h.svg	(from https://capxrecovery.com/camp/css/styles.css?v=39528777)
00:49:16	2367/2367	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2028%20Apr%202024%2005:58:50%20GMT	https://capxrecovery.com/camp/images/easy-process-h.svg	C:/Users/DELL/Desktop/capx/capxrecovery.com/camp/images/easy-process-h.svg	(from https://capxrecovery.com/camp/css/styles.css?v=39528777)
00:49:16	3356/3356	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2028%20Apr%202024%2005:58:50%20GMT	https://capxrecovery.com/camp/images/no-win-no-fee-h.svg	C:/Users/DELL/Desktop/capx/capxrecovery.com/camp/images/no-win-no-fee-h.svg	(from https://capxrecovery.com/camp/css/styles.css?v=39528777)
00:49:17	3298/3298	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2028%20Apr%202024%2005:58:50%20GMT	https://capxrecovery.com/camp/images/privacy-h.svg	C:/Users/DELL/Desktop/capx/capxrecovery.com/camp/images/privacy-h.svg	(from https://capxrecovery.com/camp/css/styles.css?v=39528777)
00:49:17	5469/5469	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2028%20Apr%202024%2005:58:50%20GMT	https://capxrecovery.com/camp/images/24-7-h.svg	C:/Users/DELL/Desktop/capx/capxrecovery.com/camp/images/24-7-h.svg	(from https://capxrecovery.com/camp/css/styles.css?v=39528777)
00:49:19	363261/363261	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20Apr%202024%2005:58:50%20GMT	https://capxrecovery.com/camp/images/aboutbg.jpg	C:/Users/DELL/Desktop/capx/capxrecovery.com/camp/images/aboutbg.jpg	(from https://capxrecovery.com/camp/css/styles.css?v=39528777)
00:49:19	135952/135952	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20Apr%202024%2005:58:50%20GMT	https://capxrecovery.com/camp/images/itembg02.jpg	C:/Users/DELL/Desktop/capx/capxrecovery.com/camp/images/itembg02.jpg	(from https://capxrecovery.com/camp/css/styles.css?v=39528777)
00:49:21	56562/56562	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20Apr%202024%2005:58:50%20GMT	https://capxrecovery.com/camp/images/itembg03.jpg	C:/Users/DELL/Desktop/capx/capxrecovery.com/camp/images/itembg03.jpg	(from https://capxrecovery.com/camp/css/styles.css?v=39528777)
00:49:21	148447/148447	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20Apr%202024%2005:58:50%20GMT	https://capxrecovery.com/camp/images/itembg04.jpg	C:/Users/DELL/Desktop/capx/capxrecovery.com/camp/images/itembg04.jpg	(from https://capxrecovery.com/camp/css/styles.css?v=39528777)
00:49:23	164417/164417	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20Apr%202024%2005:58:50%20GMT	https://capxrecovery.com/camp/images/itembg01.jpg	C:/Users/DELL/Desktop/capx/capxrecovery.com/camp/images/itembg01.jpg	(from https://capxrecovery.com/camp/css/styles.css?v=39528777)
00:49:24	157049/157049	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Jul%202024%2023:49:20%20GMT	https://capxrecovery.com/camp/assets/footprint-bg.svg	C:/Users/DELL/Desktop/capx/capxrecovery.com/camp/assets/footprint-bg.svg	(from https://capxrecovery.com/camp/css/styles.css?v=39528777)
00:49:27	157045/157045	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Jul%202024%2023:49:23%20GMT	https://capxrecovery.com/camp/assets/bannerbg.jpg	C:/Users/DELL/Desktop/capx/capxrecovery.com/camp/assets/bannerbg.jpg	(from https://capxrecovery.com/camp/css/styles.css?v=39528777)
00:49:54	1420222/1420222	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2028%20Apr%202024%2005:58:50%20GMT	https://capxrecovery.com/camp/images/Group%20922.svg	C:/Users/DELL/Desktop/capx/capxrecovery.com/camp/images/Group%20922.svg	(from https://capxrecovery.com/camp/cryptocurrency-scam-recovery?utm_source=Google&utm_medium=Ads&utm_campaign=Capx_Pmax_Crypto_Scammers&gad_source=1&gclid=EAIaIQobChMIwqq99JKnhwMVXmVHAR1mEg_kEAAYASAAEgITBPD_BwE)
00:49:56	70325/70325	---M--	200	added ('OK')	image/png	etag:W/%22112b5-tFG020MXScxAzCpfJx+YB8oh8dM%22	https://cdn.jsdelivr.net/npm/intl-tel-input@20.0.4/build/img/flags.png?1	C:/Users/DELL/Desktop/capx/cdn.jsdelivr.net/npm/intl-tel-input@20.0.4/build/img/flagsc4ca.png	(from https://cdn.jsdelivr.net/npm/intl-tel-input@20.0.4/build/css/intlTelInput.css)
00:49:57	646/646	---M--	200	added ('OK')	image/png	etag:W/%22286-FAT8dOQmZGjZK/dpWiwwy+ybHQY%22	https://cdn.jsdelivr.net/npm/intl-tel-input@20.0.4/build/img/globe.png	C:/Users/DELL/Desktop/capx/cdn.jsdelivr.net/npm/intl-tel-input@20.0.4/build/img/globe.png	(from https://cdn.jsdelivr.net/npm/intl-tel-input@20.0.4/build/css/intlTelInput.css)
00:49:57	1667/1667	---M--	200	added ('OK')	image/png	etag:W/%22683-qy0qMfb/T864sRsfikqxR/Ppda4%22	https://cdn.jsdelivr.net/npm/intl-tel-input@20.0.4/build/img/globe@2x.png	C:/Users/DELL/Desktop/capx/cdn.jsdelivr.net/npm/intl-tel-input@20.0.4/build/img/globe@2x.png	(from https://cdn.jsdelivr.net/npm/intl-tel-input@20.0.4/build/css/intlTelInput.css)
00:49:57	183962/183962	---M--	200	added ('OK')	image/png	etag:W/%222ce9a-W7UUXW9Xjua65sbc1suQgIzTwzk%22	https://cdn.jsdelivr.net/npm/intl-tel-input@20.0.4/build/img/flags@2x.png?1	C:/Users/DELL/Desktop/capx/cdn.jsdelivr.net/npm/intl-tel-input@20.0.4/build/img/flags@2xc4ca.png	(from https://cdn.jsdelivr.net/npm/intl-tel-input@20.0.4/build/css/intlTelInput.css)
